JD_TT			KELT_Instrumental Mag_Detrended		KELT_Mag_err
 2455277.4613399999216199      14.7378999999999998       0.0356500000000000
 2455277.4748909999616444      14.7662700000000005       0.0350800000000000
 2455277.4950029999017715      14.7459399999999992       0.0340000000000000
 2455277.5108699998818338      14.7253000000000007       0.0348800000000000
 2455277.5356549997814000      14.7643290524447721       0.0325500000000000
 2455277.5515620000660419      14.7791197789877895       0.0319100000000000
 2455277.5653639999218285      14.7974506794295397       0.0324900000000000
 2455277.5791650000028312      14.8006308356436573       0.0330600000000000
 2455277.5929649998433888      14.7605788682300130       0.0331400000000000
 2455277.6045519998297095      14.7580987464026503       0.0332300000000000
 2455277.6183469998650253      14.7548785882235762       0.0338200000000000
 2455277.6320349997840822      14.7562386550321278       0.0344700000000000
 2455277.6457239999435842      14.7812398831305352       0.0348700000000000
