J.D.-2400000	JD_UTC	Source_AMag_T1	Source_AMag_Err_T1
56128.478328	2456128.478328	12.291710	0.014439
56128.478409	2456128.478409	12.309093	0.014418
56130.478872	2456130.478872	12.253390	0.013668
56130.478964	2456130.478964	12.432349	0.016014
56130.479057	2456130.479057	12.380555	0.018045
56131.510723	2456131.510723	12.337722	0.012870
56131.510828	2456131.510828	12.348896	0.012885
56131.510909	2456131.510909	12.333830	0.012748
56132.478941	2456132.478941	12.349672	0.012748
56132.479045	2456132.479045	12.364195	0.012776
56132.479126	2456132.479126	12.335699	0.012667
56133.479450	2456133.479450	12.307495	0.012598
56133.479543	2456133.479543	12.336123	0.012551
56133.479635	2456133.479635	12.361312	0.012998
56135.479751	2456135.479751	12.342506	0.012694
56135.479855	2456135.479855	12.365579	0.012876
56135.479936	2456135.479936	12.319629	0.012742
56136.480503	2456136.480503	12.368803	0.014656
56136.480608	2456136.480608	12.403214	0.015022
56136.480700	2456136.480700	12.381304	0.014761
56137.543119	2456137.543119	12.354353	0.014095
56137.543223	2456137.543223	12.377220	0.014253
56137.543339	2456137.543339	12.376682	0.014141
56138.480735	2456138.480735	12.381313	0.014371
56138.480862	2456138.480862	12.363833	0.014243
56138.480955	2456138.480955	12.362860	0.014203
56139.481071	2456139.481071	12.308361	0.014068
56139.481186	2456139.481186	12.327604	0.014228
56139.481291	2456139.481291	12.337283	0.014142
56140.481314	2456140.481314	12.408486	0.014757
56140.481441	2456140.481441	12.352666	0.014548
56140.481545	2456140.481545	12.400839	0.015702
56146.631557	2456146.631557	12.280443	0.013288
56146.631661	2456146.631661	12.272883	0.013043
56146.631765	2456146.631765	12.282203	0.013198
56147.484057	2456147.484057	12.453883	0.015370
56147.484149	2456147.484149	12.504128	0.015684
56148.484462	2456148.484462	12.357865	0.013159
56148.484554	2456148.484554	12.351315	0.012990
56148.484659	2456148.484659	12.408607	0.013336
56149.484797	2456149.484797	12.371230	0.013135
56149.484890	2456149.484890	12.380899	0.013310
56149.484983	2456149.484983	12.342272	0.013094
56151.485365	2456151.485365	12.334527	0.012889
56151.485457	2456151.485457	12.323133	0.012851
56151.485550	2456151.485550	12.312508	0.012786
56152.485434	2456152.485434	12.286299	0.012565
56152.485527	2456152.485527	12.319238	0.012763
56152.485619	2456152.485619	12.281906	0.012622
56154.486372	2456154.486372	12.341725	0.012799
56154.486464	2456154.486464	12.374937	0.012916
56154.486557	2456154.486557	12.365153	0.012851
56158.487957	2456158.487957	12.298103	0.012446
56158.488050	2456158.488050	12.266310	0.012301
56158.488142	2456158.488142	12.320105	0.012641
56159.488027	2456159.488027	12.365355	0.012816
56159.488119	2456159.488119	12.350368	0.012730
56159.488212	2456159.488212	12.354349	0.012708
56160.501684	2456160.501684	12.430575	0.014471
56160.501777	2456160.501777	12.454778	0.014702
56160.501869	2456160.501869	12.441984	0.014521
56161.501557	2456161.501557	12.344065	0.014174
56161.501649	2456161.501649	12.357458	0.014346
56161.501753	2456161.501753	12.363744	0.014256
56165.501013	2456165.501013	12.356736	0.012860
56165.501105	2456165.501105	12.375784	0.013010
56165.501209	2456165.501209	12.340249	0.012837
56166.489994	2456166.489994	12.360103	0.014081
56166.490098	2456166.490098	12.361192	0.014043
56166.490203	2456166.490203	12.357635	0.014239
56167.490411	2456167.490411	12.332602	0.012831
56167.490503	2456167.490503	12.335512	0.012815
56167.490596	2456167.490596	12.313123	0.012833
56168.569068	2456168.569068	12.377174	0.017579
56168.569161	2456168.569161	12.373781	0.018449
56169.491024	2456169.491024	12.363664	0.013539
56169.491117	2456169.491117	12.410239	0.013760
56169.491221	2456169.491221	12.371181	0.013529
56171.491811	2456171.491811	12.373210	0.014010
56171.491904	2456171.491904	12.353796	0.014154
56171.491997	2456171.491997	12.337185	0.013922
56172.492622	2456172.492622	12.274938	0.012691
56172.492714	2456172.492714	12.402238	0.014253
56172.492807	2456172.492807	12.240861	0.012750
56176.493536	2456176.493536	12.359776	0.012784
56176.493628	2456176.493628	12.313392	0.012627
56176.493721	2456176.493721	12.282860	0.012638
56179.498247	2456179.498247	12.323695	0.014469
56179.498328	2456179.498328	12.393579	0.014713
56179.498420	2456179.498420	12.382098	0.014802
56181.528929	2456181.528929	12.342813	0.013619
56181.529022	2456181.529022	12.353333	0.013652
56181.529126	2456181.529126	12.342440	0.013553
56182.495862	2456182.495862	12.334968	0.013196
56182.495955	2456182.495955	12.328019	0.013050
56182.496059	2456182.496059	12.374655	0.013332
56183.496256	2456183.496256	12.277374	0.012888
56183.496360	2456183.496360	12.283005	0.012722
56183.496453	2456183.496453	12.309784	0.012839
56184.496869	2456184.496869	12.326053	0.013252
56184.496973	2456184.496973	12.351402	0.013163
56184.497078	2456184.497078	12.325539	0.013187
56185.496904	2456185.496904	12.321532	0.013248
56185.497043	2456185.497043	12.312837	0.013225
56185.497147	2456185.497147	12.334096	0.013155
56186.497413	2456186.497413	12.315515	0.013215
56186.497541	2456186.497541	12.327683	0.013202
56186.497645	2456186.497645	12.376643	0.013342
56190.499578	2456190.499578	12.369400	0.015427
56190.499693	2456190.499693	12.347222	0.015460
56190.499809	2456190.499809	12.368002	0.015593
56191.500017	2456191.500017	12.357790	0.013914
56191.500122	2456191.500122	12.356168	0.014005
56191.500226	2456191.500226	12.356538	0.013894
56192.499959	2456192.499959	12.286748	0.013008
56192.500052	2456192.500052	12.285917	0.013004
56192.500156	2456192.500156	12.325304	0.013192
56193.523003	2456193.523003	12.306197	0.016809
56193.523108	2456193.523108	12.308037	0.016960
56193.523200	2456193.523200	12.349201	0.017523
56194.512946	2456194.512946	12.386255	0.021105
56194.513038	2456194.513038	12.331572	0.020404
